uiId,iconID,name,menpai,xinfa,type,quality,score,body,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,texiao,xiangqian,strengthen,dropSource,originalId
任务,11357,归宁袖,0,3,6,1260,1587,220,80,0,0,0,29,36,0,0,0,0,0,0,0,0,0,175,0,0,0,342,0,163,0,0,0,,2D39D27,6,任务,armor-41042
任务,11357,燕音袖,0,2,6,1260,1587,220,0,0,0,80,29,36,0,0,0,0,0,0,0,0,0,175,0,0,0,342,0,163,0,0,0,,2D39D27,6,任务,armor-41043
任务,11357,赤鲂护手,0,4,6,1260,1587,220,0,80,0,0,36,29,0,0,0,0,0,0,0,0,0,146,0,0,0,342,0,163,0,0,0,,2D39D18,6,任务,armor-41044
任务,11357,阆风袖,0,5,6,1260,1587,220,0,0,80,0,36,29,0,0,0,0,0,0,0,0,0,146,0,0,0,342,0,163,0,0,0,,2D39D18,6,任务,armor-41045
任务,11357,湘蘋袖,0,6,6,1260,1587,220,80,0,0,0,29,36,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,,2D41D39,6,任务,armor-41046
任务,11357,吉士臂甲,0,7,6,1260,1587,318,0,0,0,0,36,36,0,0,0,41,0,122,0,0,81,0,0,0,0,0,0,0,81,0,121,,2D03D42,6,任务,armor-41047
任务,11358,归宁束带,0,3,10,1260,1587,220,80,0,0,0,21,26,0,0,0,0,0,0,0,0,0,175,0,0,0,342,0,163,0,0,0,,2D39D00,6,任务,armor-41048
任务,11358,燕音缠,0,2,10,1260,1587,220,0,0,0,80,21,26,0,0,0,0,0,0,0,0,0,175,0,0,0,342,0,163,0,0,0,,2D39D01,6,任务,armor-41049
任务,11358,赤鲂护腰,0,4,10,1260,1587,220,0,80,0,0,26,21,0,0,0,0,0,0,0,0,0,146,0,0,0,342,0,163,0,0,0,,2D39D02,6,任务,armor-41050
任务,11358,阆风束,0,5,10,1260,1587,220,0,0,80,0,26,21,0,0,0,0,0,0,0,0,0,146,0,0,0,342,0,163,0,0,0,,2D39D04,6,任务,armor-41051
