ID,databaseId
enchant-420,123
enchant-5570,null
enchant-5571,null
enchant-5572,null
enchant-5573,null
enchant-5574,null
enchant-5575,null
enchant-5576,null
enchant-5577,null
enchant-5578,null
enchant-5579,null
enchant-5580,null
enchant-5581,null
enchant-5582,null
enchant-5583,null
enchant-5584,null
enchant-5585,null
enchant-5586,null
enchant-5587,null
enchant-5635,null
enchant-5636,22
enchant-5637,20
enchant-5638,21
enchant-5639,null
enchant-5640,24
enchant-5857,null
enchant-5858,null
enchant-5859,null
enchant-5860,null
enchant-5861,null
enchant-5862,null
enchant-5863,null
enchant-5864,null
enchant-5865,null
enchant-5866,null
enchant-5867,null
enchant-5868,null
enchant-5869,null
enchant-5870,null
enchant-5871,null
enchant-5872,null
enchant-5873,null
enchant-5874,null
enchant-5875,null
enchant-5876,null
enchant-5877,null
enchant-5878,null
enchant-5879,null
enchant-5880,null
enchant-5881,null
enchant-5882,null
enchant-5883,null
enchant-5884,null
enchant-5885,null
enchant-5886,null
enchant-5887,null
enchant-5888,null
enchant-5889,null
enchant-5890,null
enchant-5891,null
enchant-5892,null
enchant-5893,null
enchant-5894,null
enchant-5895,null
enchant-5896,null
enchant-5897,null
enchant-5898,null
enchant-5899,null
enchant-5900,null
enchant-5901,null
enchant-5902,null
enchant-5903,61
enchant-5904,66
enchant-5905,64
enchant-5906,67
enchant-5907,65
enchant-5908,null
enchant-5909,71
enchant-5910,68
enchant-5911,69
enchant-5912,70
enchant-5913,62
enchant-5914,63
enchant-5915,90
enchant-5916,91
enchant-5917,92
enchant-5918,96
enchant-5919,102
enchant-5920,100
enchant-5921,95
enchant-5922,40
enchant-5923,41
enchant-5924,45
enchant-5925,46
enchant-5926,47
enchant-5927,48
enchant-5928,49
enchant-5929,72
enchant-5930,84
enchant-5931,82
enchant-5932,85
enchant-5933,83
enchant-5934,null
enchant-5935,89
enchant-5936,86
enchant-5937,87
enchant-5938,88
enchant-5939,79
enchant-5940,80
enchant-5941,null
enchant-5942,null
enchant-5943,null
enchant-5944,null
enchant-5945,null
enchant-5946,null
enchant-5947,null
enchant-5948,null
enchant-5949,null
enchant-5950,null
enchant-5951,null
enchant-5952,null
enchant-5953,null
enchant-5954,null
enchant-5955,null
enchant-5956,null
enchant-5957,null
enchant-5958,null
enchant-5959,null
enchant-5960,null
enchant-5961,null
enchant-5962,null
enchant-5963,null
enchant-5964,null
enchant-5965,null
enchant-5966,null
enchant-5967,null
enchant-5968,null
enchant-5969,null
enchant-5970,null
enchant-5971,null
enchant-5972,null
enchant-5973,null
enchant-5974,null
enchant-5975,null
enchant-5976,null
enchant-5977,29
enchant-5978,30
enchant-5979,31
enchant-5980,32
enchant-5981,33
enchant-5982,34
enchant-5983,35
enchant-5984,36
enchant-5985,37
enchant-5986,38
enchant-5987,157
enchant-5988,104
enchant-5989,107
enchant-5990,111
enchant-5991,116
enchant-5992,108
enchant-5993,112
enchant-5994,106
enchant-5995,110
enchant-5996,113
enchant-5997,117
enchant-5998,119
enchant-5999,122
enchant-6000,418
enchant-6001,419
enchant-6002,420
enchant-6003,421
enchant-6004,422
enchant-6005,null
enchant-6006,null
enchant-6007,null
enchant-6008,null
enchant-6009,null
enchant-6010,null
enchant-6011,null
enchant-6012,null
enchant-6013,39
enchant-6014,103
enchant-6027,null
enchant-6028,null
enchant-6029,null
enchant-6030,null
enchant-6031,null
enchant-6032,null
enchant-6033,null
enchant-6034,null
enchant-6035,null
enchant-6036,152
enchant-6037,146
enchant-6038,153|423
enchant-6039,147
enchant-6040,143
enchant-6041,149
enchant-6042,424
enchant-6043,150
enchant-6044,132
enchant-6045,133
enchant-6046,135
enchant-6047,140
enchant-6048,141
enchant-6049,296
enchant-6050,137
enchant-6051,138
enchant-6052,151
enchant-6053,148|155
enchant-6054,131
enchant-6055,145
enchant-6056,154|425
enchant-6057,134
enchant-6058,142
enchant-6059,144
enchant-6060,139
enchant-6061,136
enchant-6062,null
enchant-6064,null
enchant-6066,null
enchant-6067,null
enchant-6074,159
enchant-6075,160
enchant-6076,161
enchant-6077,162
enchant-6078,163
enchant-6079,164
enchant-6080,165
enchant-6081,166
enchant-6082,167
enchant-6083,168
enchant-6084,169
enchant-6085,170
enchant-6086,171
enchant-6087,172
enchant-6088,173
enchant-6089,174
enchant-6090,175
enchant-6091,176
enchant-6092,177
enchant-6093,178
enchant-6094,179
