P_ID,name,desc,type,xinfatype,body,spirit,strength,agility,spunk,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,neihui,neili,xuehui,qixue
4,线刻·金鸣,可强化戒指，使自身外功攻击增加5点,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
9,雕纹·玉渊,可强化戒指，使自身招式产生威胁降低5%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-51,0,0,0,0
10,雕纹·铃琅,可强化戒指，使自身每秒回复内力值提高6点,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
11,雕纹·梦泽,可强化戒指，使自身每秒回复气血值提高8点,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
12,雕纹·展凤,可强化戒指，使自身招式产生威胁提高8%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,082,0,0,0,0
14,线刻·韬光,可强化戒指，使自身招式产生威胁提高8%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,082,0,0,0,0
15,线刻·养晦,可强化戒指，使自身招式产生威胁降低5%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-51,0,0,0,0
16,雕纹·骇浪,可强化戒指，使自身外功攻击增加5点,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
17,雕纹·惊涛,可强化戒指，使自身内功攻击增加6点,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
19,新春·别岁,可强化戒指，使自身每秒回复气血值提高8点,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
20,新春·分岁,可强化戒指，使自身每秒回复内力值提高6点,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
21,新春·馈岁,可强化戒指，使自身招式产生威胁提高8%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,082,0,0,0,0
22,新春·守岁,可强化戒指，使自身招式产生威胁降低5%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-51,0,0,0,0
23,新春·压岁,可强化戒指，使自身内功攻击增加6点,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
29,固·安戎·锻（根骨）,根骨提升15,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,固·安戎·锻（身法）,身法提升15,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,固·安戎·锻（外破）,外功破防提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,
32,固·安戎·锻（内破）,内功破防提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,
33,固·安戎·锻（仇恨）,仇恨百分比提升5%,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,051,0,0,0,0
34,固·安戎·锻（外会）,外功会心提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,
35,固·安戎·锻（内会）,内功会心提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,
36,固·安戎·锻（外命）,外功命中提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,
37,固·安戎·锻（内命）,内功命中提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,
38,固·安戎·锻（无双）,无双提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0
39,固·安戎·锻（加速）,加速提升27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0
40,雅·安戎·染（力道）,力道提升10,6,0,0,0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,雅·安戎·染（元气）,元气提升10,6,0,0,0,0,0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,雅·安戎·染（外伤）,外功攻击提升21,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,
46,雅·安戎·染（内伤）,内功攻击提升25,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
47,雅·安戎·染（疗伤）,疗伤成效提升22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,022,0,0,0,0,0,0,0,0,0,0,0,0
48,雅·安戎·染（内会效）,内功会心效果提升27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0,0,0
49,雅·安戎·染（外会效）,外功会心效果提升27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0,0,0
61,雅·安戎·绣（体质）,体质提升14,8,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,雅·安戎·绣（御劲）,御劲提升14,8,0,0,0,0,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,雅·安戎·绣（化劲）,化劲提升14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,
64,雅·安戎·绣（内力）,内力提升137点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0137,0,0
65,雅·安戎·绣（内回）,内力回复提升17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
66,雅·安戎·绣（气血）,气血提升137点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0137
67,雅·安戎·绣（气回）,生命回复提升10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
68,雅·安戎·绣（外防）,外功防御提升14,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,雅·安戎·绣（内防）,内功防御提升14,8,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,雅·安戎·绣（招架）,招架提升14,8,0,0,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,雅·安戎·绣（闪避）,闪避提升14,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,雅·安戎·纹（体质）,体质提升14,10,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,雅·安戎·纹（御劲）,御劲提升14,10,0,0,0,0,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,雅·安戎·纹（化劲）,化劲提升14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,
82,雅·安戎·纹（内力）,内力提升137点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0137,0,0
83,雅·安戎·纹（内回）,内力回复提升17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
84,雅·安戎·纹（气血）,气血提升137点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0137
85,雅·安戎·纹（气回）,生命回复提升10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
86,雅·安戎·纹（外防）,外功防御提升14,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,雅·安戎·纹（内防）,内功防御提升14,10,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,雅·安戎·纹（招架）,招架提升14,10,0,0,0,0,0,0,0,0,0,014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,雅·安戎·纹（闪避）,闪避提升14,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,雅·安戎·印（力道）,力道提升10,7,0,0,0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
