P_ID,uiId,iconID,name,menpai,xinfa,type,quality,score,body,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,texiao,xiangqian,strengthen,dropSource
32277,任务,11357,归宁袖,0,3,6,1650,2079,288,105,0,0,0,38,47,0,0,0,0,0,0,0,0,0,229,0,0,0,448,0,213,0,0,0,,,6,任务
32278,任务,11357,燕音袖,0,2,6,1650,2079,288,0,0,0,105,38,47,0,0,0,0,0,0,0,0,0,229,0,0,0,448,0,213,0,0,0,,,6,任务
32279,任务,11357,赤鲂护手,0,4,6,1650,2079,288,0,105,0,0,47,38,0,0,0,0,0,0,0,0,0,191,0,0,0,448,0,213,0,0,0,,,6,任务
32280,任务,11357,阆风袖,0,5,6,1650,2079,288,0,0,105,0,47,38,0,0,0,0,0,0,0,0,0,191,0,0,0,448,0,213,0,0,0,,,6,任务
32281,任务,11357,湘蘋袖,0,6,6,1650,2079,288,105,0,0,0,38,47,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,,,6,任务
32282,任务,11357,吉士臂甲,0,7,6,1650,2079,416,0,0,0,0,47,47,0,0,0,53,0,160,0,0,107,0,0,0,0,0,0,0,107,0,159,,,6,任务
32283,任务,11358,归宁束带,0,3,10,1650,2079,288,105,0,0,0,27,34,0,0,0,0,0,0,0,0,0,229,0,0,0,448,0,213,0,0,0,,,6,任务
32284,任务,11358,燕音缠,0,2,10,1650,2079,288,0,0,0,105,27,34,0,0,0,0,0,0,0,0,0,229,0,0,0,448,0,213,0,0,0,,,6,任务
32285,任务,11358,赤鲂护腰,0,4,10,1650,2079,288,0,105,0,0,34,27,0,0,0,0,0,0,0,0,0,191,0,0,0,448,0,213,0,0,0,,,6,任务
32286,任务,11358,阆风束,0,5,10,1650,2079,288,0,0,105,0,34,27,0,0,0,0,0,0,0,0,0,191,0,0,0,448,0,213,0,0,0,,,6,任务
32287,任务,11358,湘蘋束带,0,6,10,1650,2079,288,105,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,,,6,任务
32288,任务,11358,吉士革带,0,7,10,1650,2079,416,0,0,0,0,34,34,0,0,0,53,0,267,0,0,0,0,0,0,0,0,0,213,107,0,159,,,6,任务
32289,任务,11361,归宁靴,0,3,5,1650,2079,288,105,0,0,0,27,34,0,0,0,0,0,0,0,0,0,298,0,0,0,533,0,0,0,0,0,,,6,任务
32290,任务,11361,燕音鞋,0,2,5,1650,2079,288,0,0,0,105,27,34,0,0,0,0,0,0,0,0,0,298,0,0,0,533,0,0,0,0,0,,,6,任务
32291,任务,11361,赤鲂靴,0,4,5,1650,2079,288,0,105,0,0,34,27,0,0,0,0,0,0,0,0,0,248,0,0,0,533,0,0,0,0,0,,,6,任务
32292,任务,11361,阆风履,0,5,5,1650,2079,288,0,0,105,0,34,27,0,0,0,0,0,0,0,0,0,248,0,0,0,533,0,0,0,0,0,,,6,任务
32293,任务,11361,湘蘋履,0,6,5,1650,2079,288,105,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,,,6,任务
32294,任务,11361,吉士靴,0,7,5,1650,2079,416,0,0,0,0,34,34,0,0,0,53,0,0,267,1542,0,0,0,0,0,0,0,213,107,0,159,,,6,任务
32295,任务,11359,归宁裤,0,3,7,1650,2970,411,150,0,0,0,49,61,0,0,0,0,0,0,0,0,0,426,0,0,0,762,0,0,0,0,0,,,6,任务
32296,任务,11359,燕音裳,0,2,7,1650,2970,411,0,0,0,150,49,61,0,0,0,0,0,0,0,0,0,426,0,0,0,762,0,0,0,0,0,,,6,任务
32297,任务,11359,赤鲂裤,0,4,7,1650,2970,411,0,150,0,0,61,49,0,0,0,0,0,0,0,0,0,355,0,0,0,762,0,0,0,0,0,,,6,任务
32298,任务,11359,阆风护腿,0,5,7,1650,2970,411,0,0,150,0,61,49,0,0,0,0,0,0,0,0,0,355,0,0,0,762,0,0,0,0,0,,,6,任务
32299,任务,11359,湘蘋裳,0,6,7,1650,2970,411,150,0,0,0,49,61,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,,,6,任务
32300,任务,11359,吉士护腿,0,7,7,1650,2970,594,0,0,0,0,61,61,0,0,0,76,0,0,229,2202,152,0,0,0,0,0,0,0,152,0,159,,,6,任务
32301,任务,11360,归宁帽,0,3,9,1650,2673,370,135,0,0,0,43,54,0,0,0,0,0,0,0,0,0,295,0,0,0,576,0,274,0,0,0,,,6,任务
32302,任务,11360,燕音冠,0,2,9,1650,2673,370,0,0,0,135,43,54,0,0,0,0,0,0,0,0,0,295,0,0,0,576,0,274,0,0,0,,,6,任务
32303,任务,11360,赤鲂盔,0,4,9,1650,2673,370,0,135,0,0,54,43,0,0,0,0,0,0,0,0,0,246,0,0,0,576,0,274,0,0,0,,,6,任务
