kungfu,index,name,description,icon,version,effectId
傲血战意,1,封侯,“穿云”伤害提高10%。,4558,1.0.0.3931,
傲血战意,1,扬戈,“穿云”的会心几率提高10%，会心效果提高10%。,4513,1.0.0.3931,
傲血战意,1,百折,“御”可以在基础调息时间中施展，施展后0.5秒内成功抵御伤害则使自身下一次招式伤害提高30%。,7446,1.0.0.3931,
傲血战意,2,神勇,“龙牙”会心几率提高10%，会心效果提高10%。,637,1.0.0.3931,
傲血战意,2,挫锐,“穿云”命中低于自身两层“流血”的目标则同时附带“流血”“破风”效果。,11904,1.0.0.3931,
傲血战意,2,穿,“龙吟”对目标周围8尺内最多5个目标造成外功伤害且移动速度降低60%，持续12秒。,655,1.0.0.3931,
傲血战意,3,骁勇,“流血”效果伤害提高10%。,647,1.0.0.3931,
傲血战意,3,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,2989,1.0.0.3931,
傲血战意,3,大漠,“穿云”有35%几率使自身额外获得1点战意。,4522,1.0.0.3931,
傲血战意,3,徐如林,施展“突”“断魂刺”之后，自身将获得“徐如林”效果，使自身外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复5%，持续5秒。,653,1.0.0.3931,
傲血战意,4,击水,“流血”效果可叠3层，持续时间增加4秒。,4504,1.0.0.3931,
傲血战意,4,飞将,对击倒状态的目标伤害提高35%。,639,1.0.0.3931,
傲血战意,4,流电,“疾”可以在马上使用，并击倒冲刺路径上的5个目标，持续2秒。,6281,1.0.0.3931,
傲血战意,4,崩,对吟唱状态的目标造成外功伤害，并使其晕眩5秒。,1481,1.0.0.3931,
傲血战意,5,出云,“战八方”可以在马下施展。,643,1.0.0.3931,
傲血战意,5,劲风,“穿云”“龙吟”命中具有自身“流血”效果的目标增加20%伤害。,650,1.0.0.3931,
傲血战意,5,驰骋,施展“任驰骋”获得的外功基础攻击力效果提高至30%。,640,1.0.0.3931,
傲血战意,5,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,1458,1.0.0.3931,
傲血战意,6,坚城,“守如山”调息时间降低70秒，减伤效果变为50%，马上施展则额外增加5秒持续时间。,2990,1.0.0.3931,
傲血战意,6,牧云,“突”的调息时间增加25秒，施展后自身获得牧云效果，持续45秒，效果期间施展“龙牙”则叠加一层“牧云”效果，最多作用3次。,642,1.0.0.3931,
傲血战意,6,破军,“破坚阵”命中目标后，给目标添加“破军”标记，持续8秒，标记持续期间被自身外功招式命中都会触发一次“破军”效果，对目标造成外功伤害。,9521,1.0.0.3931,
傲血战意,6,青阳,“灭”的施展距离提高到25尺，施展时解除自身锁足减速不利效果并冲向目标，命中后使目标眩晕2秒。,4576,1.0.0.3931,
傲血战意,7,龙胆,“龙牙”施展后有35%几率刷新“龙吟”的调息时间。,4222,1.0.0.3931,
傲血战意,7,风虎,每点“战意”增加“穿云”“龙吟”“龙牙”“灭”5%伤害。,2993,1.0.0.3931,
傲血战意,7,白羽,施展“疾如风”后，不受控制招式影响的效果提高到6秒，并立刻获得5点“战意”。,2982,1.0.0.3931,
傲血战意,7,霹雳,对目标及其附近额外的3个目标造成200%武器伤害并附加外功伤害，使目标受到的疗伤成效降低50%，持续12秒。,2986,1.0.0.3931,
傲血战意,8,关山月,力道、体质提高10%。,3426,1.0.0.3931,
傲血战意,8,守孤城,施展“御”后每秒回复2%的气血与内力，持续5秒。,4549,1.0.0.3931,
傲血战意,8,飞遁,“任驰骋”上马后移动速度提高50%，“纵轻骑”效果持续过程中将不受任何位移招式影响。,2997,1.0.0.3931,
傲血战意,8,战心,“灭”附带流血和破风效果，使自身立刻获得3点战意，并进入“徐如林”状态，持续3秒。,4531,1.0.0.3931,
傲血战意,8,疾雨,“乘龙箭”每0.8秒朝目标区域发射箭雨，持续2.4秒。每波箭雨延迟0.8秒后对目标6尺范围最多5个目标造成外功伤害。,14131,1.0.0.3931,
傲血战意,9,破楼兰,“灭”对于气血值低于40%的目标造成40%的额外伤害，施展灭6秒内获得一次额外施展的机会。,4558,1.0.0.3931,
傲血战意,9,长征,“突”变为2层充能，充能时间为20秒。,638,1.0.0.3931,
傲血战意,9,雷行,“沧月”每击退1个目标，增加0.5秒“纵轻骑”效果时间，降低0.5秒“沧月”调息时间。,4543,1.0.0.3931,
傲血战意,9,渊,解除自身所有移动限制，冲刺到友方目标身边，为其承受4次伤害，并使自身外功基础攻击力提高50%(点)。,2985,1.0.0.3931,
傲血战意,9,龙驭,“任驰骋”调息时间降低4秒，“骑御”期间可以施展“灭”，自身额外消耗2%的气血值，并使得目标额外受到25%伤害。,13434,1.0.0.3931,
傲血战意,10,泾威,“疾如风”调息时间降低5秒，可额外透支使用一次。,11900,1.0.0.3931,
傲血战意,10,激雷,施展“撼如雷”后小队成员的外功破防值提高20%，外功基础攻击力提高20%，持续6秒。,635,1.0.0.3931,
傲血战意,10,夜征,“激雷”效果持续期间自身无视目标25%外功防御，效果持续时间提高100%。,7462,1.0.0.3931,
傲血战意,10,逐北,“任驰骋”招式无需运功，且“纵轻骑”效果持续时间提高1秒。,641,1.0.0.3931,
傲血战意,10,破国,“纵轻骑”期间自身加速值突破上限，提高50%，施展“羽林枪法”招式额外附带一次100%的武器伤害效果。,13433,1.0.0.3931,
傲血战意,11,牙璋,“战八方”会心提高10%，会心效果提高10%，调息时间增加6秒，命中目标附带“流血”“破风”效果。,7424,1.0.0.3931,
傲血战意,11,于役,“啸如虎”可在受控状态下施展，效果期间受到会心攻击恢复自身5%气血值，最多作用5次。,7431,1.0.0.3931,
傲血战意,11,龙血,“龙牙”施展距离提高4尺，命中有自身“流血”效果的目标额外造成25%伤害。,7495,1.0.0.3931,
傲血战意,11,薄伐,“破坚阵”可冲刺至15尺内目标身边对其释放，并将目标周围6尺范围4个目标击倒。,7447,1.0.0.3931,
傲血战意,11,将命,“疾”调息时间降低8秒，并使得自身接下来一个“突”施展距离提高7尺，附带眩晕时间增加1秒。,14127,1.0.0.3931,
傲血战意,12,虎贲,“龙牙”有30%几率不消耗战意效果。,1457,1.0.0.3931,
傲血战意,12,温邑,自身气血值每降低10%，“守如山”减伤效果持续时间增加1秒。,7479,1.0.0.3931,
傲血战意,12,背水,自身气血每降低20%，自身外功基础攻击力提高5%，“灭”伤害提高5%。,9520,1.0.0.3931,
傲血战意,12,破重围,纵马疾驰，自身免疫控制，受到的伤害降低30%，控制目标并连续造成11次共计外功伤害效果并使目标无法施展轻功，命中击倒中的目标伤害提高50%，骑马时方可施展此招式。,7506,1.0.0.3931,
傲血战意,12,力破万钧,只能在马下施展，蓄力刺出长枪，蓄力期间自身免疫控制，移动速度降低50%，最多蓄力1.5秒，对面前12尺最多4个目标击退并最多造成外功伤害。若将目标击退至障碍上，使得目标击倒，最多3秒。蓄力时间越长，伤害越高，击倒时间越长。对气血值低于50%的目标伤害提高30%。,14130,1.0.0.3931,
铁牢律,1,封侯,“穿云”威胁值提高20%。,4558,1.0.0.3931,
铁牢律,1,勤王,外功防御和内功防御等级提高20%。,2992,1.0.0.3931,
铁牢律,1,定军,对敌人造成外功伤害，并强迫其对你发起攻击。,646,1.0.0.3931,
铁牢律,2,龙痕,“龙牙”命中目标后，使目标造成的伤害降低10%，持续6秒。,2991,1.0.0.3931,
铁牢律,2,坚韧,被伤害招式命中使自身受到的伤害降低1%，可叠加5层，持续12秒。,2993,1.0.0.3931,
铁牢律,2,穿,“龙吟”对目标周围8尺内最多5个目标造成外功伤害且移动速度降低60%，持续12秒。,655,1.0.0.3931,
铁牢律,3,骁勇,“流血”效果伤害提高10%。,647,1.0.0.3931,
