id,type,comment,activity,limitedTime,redeem,reputationId,bossId
1,other,"任务•有命在天命此丞相,安息,蟊贼生事繁来扰",,0,,NULL,NULL
2,other,"任务•虽九死其犹未悔,从长计议,英雄擂上言生死",,0,,NULL,NULL
3,other,"任务•将军有危劳心忉忉,不赦七斩,剑芒裂天掌风掠",,0,,NULL,NULL
4,other,"任务•宴席之美少酒难悦,前往武牢关,守阵神兽名炎晖",,0,,NULL,NULL
5,other,"任务•寤寐无为中心忧忧,挫骨扬灰,小荷轻立渡口前",,0,,NULL,NULL
6,other,"任务•皇恩浩荡然心有愧,平乱,天网恢恢疏不漏",,0,,NULL,NULL
7,other,"任务•叛军如虎,反叛的将军,初至侠客岛",,0,,NULL,NULL
8,other,"任务•活命之恩,小七报恩,启程安平村",,0,,NULL,NULL
9,other,"任务•鱼目混珠,勇将尉迟,协力破海寇",,0,,NULL,NULL
10,other,"任务•一切顺利,复命天策府,拜访姜鱼",,0,,NULL,NULL
11,other,"任务•狼牙突袭,诛杀首恶,劫后逃生忙",,0,,NULL,NULL
12,other,"任务•手忙脚乱,复仇·徐隆,事毕返姜家",,0,,NULL,NULL
13,other,,,0,,NULL,NULL
14,reputation,,,0,,1,NULL
15,reputation,,,0,,2,NULL
16,reputation,,,0,,3,NULL
17,reputation,,,0,,4,NULL
18,raid,,,0,,NULL,1
19,raid,,,0,,NULL,2
20,raid,,,0,,NULL,3
21,raid,,,0,,NULL,4
22,raid,,,0,,NULL,5
23,raid,,,0,,NULL,6
24,raid,,,0,,NULL,7
25,raid,,,0,,NULL,8
26,raid,,,0,,NULL,9
27,raid,,,0,,NULL,10
28,raid,,,0,,NULL,11
29,reputation,,,0,,5,NULL
30,reputation,,,0,,6,NULL
31,reputation,,,0,,7,NULL
32,reputation,,,0,,8,NULL
33,raid,,,0,,NULL,12
34,raid,,,0,,NULL,13
35,raid,,,0,,NULL,14
36,raid,,,0,,NULL,15
37,raid,,,0,,NULL,16
38,raid,,,0,,NULL,17
39,raid,,,0,,NULL,18
40,raid,,,0,,NULL,19
41,raid,,,0,,NULL,20
42,raid,,,0,,NULL,21
43,raid,,,0,,NULL,22
44,raid,,,0,,NULL,23
45,raid,,,0,,NULL,24
46,raid,,,0,,NULL,25
47,raid,,,0,,NULL,26
48,raid,,,0,,NULL,27
49,raid,,,0,,NULL,28
50,raid,,,0,,NULL,29
51,raid,,,0,,NULL,30
52,raid,,,0,,NULL,31
53,raid,,,0,,NULL,32
54,raid,,,0,,NULL,33
55,redeem,,,0,contribution,NULL,NULL
56,other,生活技能,,0,,NULL,NULL
57,reputation,,,0,,9,NULL
58,reputation,,,0,,10,NULL
59,reputation,,,0,,11,NULL
60,reputation,,,0,,12,NULL
61,redeem,,,0,set,NULL,NULL
62,redeem,,,0,chivalry,NULL,NULL
63,redeem,,,0,unknown,NULL,NULL
