uiId,iconID,name,menpai,xinfa,type,quality,score,body,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,texiao,xiangqian,strengthen,dropSource,originalId
任务,4252,归宁链,0,3,0,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23441
任务,4252,燕音链,0,2,0,1470,1323,183,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23442
任务,4252,赤鲂颈甲,0,4,0,1470,1323,183,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23443
任务,4252,阆风链,0,5,0,1470,1323,183,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23444
任务,4252,湘蘋链,0,6,0,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,,,6,任务,trinket-23445
任务,4252,吉士护颈,0,7,0,1470,1323,265,0,0,0,0,0,0,0,0,0,34,0,0,102,981,68,0,0,0,0,0,0,0,68,0,0,,,6,任务,trinket-23446
任务,1222,归宁佩,0,3,1,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23447
任务,1222,燕音坠,0,2,1,1470,1323,183,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23448
任务,1222,赤鲂坠,0,4,1,1470,1323,183,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23449
任务,1222,阆风佩,0,5,1,1470,1323,183,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23450
任务,1222,湘蘋坠,0,6,1,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,,,6,任务,trinket-23451
任务,1222,吉士腰坠,0,7,1,1470,1323,265,0,0,0,0,0,0,0,0,0,34,170,0,0,0,0,0,0,0,0,0,0,136,68,0,0,,,6,任务,trinket-23452
任务,4257,归宁戒,0,3,2,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23453
任务,4257,燕音指环,0,2,2,1470,1323,183,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,146,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23454
任务,4257,赤鲂戒,0,4,2,1470,1323,183,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23455
任务,4257,阆风指环,0,5,2,1470,1323,183,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,122,0,285,0,0,0,136,0,0,0,,,6,任务,trinket-23456
任务,4257,湘蘋戒,0,6,2,1470,1323,183,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,,,6,任务,trinket-23457
任务,4257,吉士戒,0,7,2,1470,1323,265,0,0,0,0,0,0,0,0,0,0,136,0,0,0,68,0,0,0,0,0,0,0,68,0,0,,,6,任务,trinket-23458
任务,3922,夙星链,0,3,0,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,349,0,0,0,166,0,0,0,,1D39,6,任务,trinket-23459
任务,3922,寤寐项链,0,2,0,1800,1620,224,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,179,0,349,0,0,0,166,0,0,0,,1D39,6,任务,trinket-23460
任务,3922,旌荣链,0,4,0,1800,1620,224,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,349,0,0,0,166,0,0,0,,1D39,6,任务,trinket-23461
任务,3922,方慕项链,0,5,0,1800,1620,224,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,149,0,349,0,0,0,166,0,0,0,,1D39,6,任务,trinket-23462
任务,3922,遥夕链,0,6,0,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,299,0,0,0,0,0,0,0,,1D10,6,任务,trinket-23463
任务,3922,鱼丽项链,0,7,0,1800,1620,324,0,0,0,0,0,0,0,0,0,42,208,0,0,0,0,0,0,0,0,0,0,166,83,0,0,,1D42,6,任务,trinket-23464
任务,1216,夙星坠,0,3,1,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,349,0,0,0,166,0,0,0,,1D00,6,任务,trinket-23465
任务,1216,寤寐佩,0,2,1,1800,1620,224,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,179,0,349,0,0,0,166,0,0,0,,1D01,6,任务,trinket-23466
任务,1216,旌荣佩,0,4,1,1800,1620,224,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,349,0,0,0,166,0,0,0,,1D02,6,任务,trinket-23467
任务,1216,方慕坠,0,5,1,1800,1620,224,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,149,0,349,0,0,0,166,0,0,0,,1D04,6,任务,trinket-23468
任务,1216,遥夕坠,0,6,1,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,299,0,0,0,0,0,0,0,,1D00,6,任务,trinket-23469
任务,1216,鱼丽佩,0,7,1,1800,1620,324,0,0,0,0,0,0,0,0,0,42,0,0,125,1201,83,0,0,0,0,0,0,0,83,0,0,,1D03,6,任务,trinket-23470
任务,4258,夙星戒,0,3,2,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,415,0,0,0,0,0,,,6,任务,trinket-23471
任务,4258,寤寐戒,0,2,2,1800,1620,224,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,415,0,0,0,0,0,,,6,任务,trinket-23472
任务,4258,旌荣戒,0,4,2,1800,1620,224,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,415,0,0,0,0,0,,,6,任务,trinket-23473
任务,4258,方慕戒,0,5,2,1800,1620,224,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,415,0,0,0,0,0,,,6,任务,trinket-23474
任务,4258,遥夕戒,0,6,2,1800,1620,224,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,299,0,0,0,0,0,0,0,,,6,任务,trinket-23475
任务,4258,鱼丽戒,0,7,2,1800,1620,324,0,0,0,0,0,0,0,0,0,42,0,0,208,1201,0,0,0,0,0,0,0,166,83,0,0,,,6,任务,trinket-23476
掉落,4249,临流链,0,3,0,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,1D05,6,掉落,trinket-23477
掉落,4249,襄童链,0,2,0,1900,1710,237,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,1D05,6,掉落,trinket-23478
掉落,4249,长阔项链,0,4,0,1900,1710,237,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,1D05,6,掉落,trinket-23479
掉落,4249,南徵项链,0,5,0,1900,1710,237,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,1D05,6,掉落,trinket-23480
掉落,4249,含英链,0,6,0,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,,1D00,6,掉落,trinket-23481
掉落,4249,海戍链,0,7,0,1900,1710,342,0,0,0,0,0,0,0,0,0,44,0,219,0,0,0,0,0,0,0,0,0,175,88,0,0,,1D42,6,掉落,trinket-23482
掉落,1211,临流坠,0,3,1,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,1D00,6,掉落,trinket-23483
掉落,1211,襄童佩,0,2,1,1900,1710,237,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,1D01,6,掉落,trinket-23484
掉落,1211,长阔腰坠,0,4,1,1900,1710,237,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,1D02,6,掉落,trinket-23485
掉落,1211,南徵佩,0,5,1,1900,1710,237,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,1D04,6,掉落,trinket-23486
掉落,1211,含英坠,0,6,1,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,,1D39,6,掉落,trinket-23487
掉落,1211,海戍佩,0,7,1,1900,1710,342,0,0,0,0,0,0,0,0,0,44,0,219,0,0,0,0,0,0,0,0,0,175,88,0,0,,1D45,6,掉落,trinket-23488
掉落,2850,临流戒,0,3,2,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,,6,掉落,trinket-23489
掉落,2850,襄童戒,0,2,2,1900,1710,237,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,368,175,0,0,0,,,6,掉落,trinket-23490
掉落,2850,长阔戒,0,4,2,1900,1710,237,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,,6,掉落,trinket-23491
掉落,2850,南徵戒,0,5,2,1900,1710,237,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,368,175,0,0,0,,,6,掉落,trinket-23492
掉落,2850,含英戒,0,6,2,1900,1710,237,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,,,6,掉落,trinket-23493
掉落,2850,海戍戒,0,7,2,1900,1710,342,0,0,0,0,0,0,0,0,0,44,0,219,0,0,0,0,0,0,0,0,175,0,88,0,0,,,6,掉落,trinket-23494
声望,1208,凛承链,0,3,0,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,378,0,180,0,0,0,,1D39,6,/声望:迷渊岛(友好),trinket-23495
声望,1208,凛海链,0,2,0,1950,1755,243,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,378,0,180,0,0,0,,1D39,6,/声望:迷渊岛(友好),trinket-23496
声望,1208,凛猛链,0,4,0,1950,1755,243,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,378,0,180,0,0,0,,1D39,6,/声望:迷渊岛(友好),trinket-23497
声望,1208,凛迅链,0,5,0,1950,1755,243,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,378,0,180,0,0,0,,1D39,6,/声望:迷渊岛(友好),trinket-23498
声望,1208,凛春链,0,6,0,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,,1D00,6,/声望:迷渊岛(友好),trinket-23499
声望,1208,凛御链,0,7,0,1950,1755,351,0,0,0,0,0,0,0,0,0,45,0,225,0,0,0,0,0,0,0,0,0,180,90,0,0,,1D42,6,/声望:迷渊岛(友好),trinket-23500
声望,1224,凛虹坠,0,3,1,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,378,0,0,0,180,0,0,0,,1D00,6,/声望:盘丝洞(友好),trinket-23501
声望,1224,凛南坠,0,2,1,1950,1755,243,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,193,0,378,0,0,0,180,0,0,0,,1D01,6,/声望:盘丝洞(友好),trinket-23502
声望,1224,凛毅坠,0,4,1,1950,1755,243,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,378,0,0,0,180,0,0,0,,1D02,6,/声望:盘丝洞(友好),trinket-23503
声望,1224,凛捷坠,0,5,1,1950,1755,243,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,161,0,378,0,0,0,180,0,0,0,,1D04,6,/声望:盘丝洞(友好),trinket-23504
声望,1224,凛云坠,0,6,1,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,,1D39,6,/声望:盘丝洞(友好),trinket-23505
声望,1224,凛阳坠,0,7,1,1950,1755,351,0,0,0,0,0,0,0,0,0,45,0,0,225,1301,0,0,0,0,0,0,180,0,90,0,0,,1D45,6,/声望:盘丝洞(友好),trinket-23506
声望,2849,凛创戒,0,3,2,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,378,0,0,0,0,180,0,0,,,6,/声望:泥兰洞天(友好),trinket-23507
声望,2849,凛湘戒,0,2,2,1950,1755,243,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,193,0,378,0,0,0,0,180,0,0,,,6,/声望:泥兰洞天(友好),trinket-23508
声望,2849,凛达戒,0,4,2,1950,1755,243,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,378,0,0,0,0,180,0,0,,,6,/声望:泥兰洞天(友好),trinket-23509
声望,2849,凛通戒,0,5,2,1950,1755,243,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,161,0,378,0,0,0,0,180,0,0,,,6,/声望:泥兰洞天(友好),trinket-23510
声望,2849,凛荣戒,0,6,2,1950,1755,243,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,,,6,/声望:泥兰洞天(友好),trinket-23511
声望,2849,凛忠戒,0,7,2,1950,1755,351,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,180,0,90,0,0,,,6,/声望:泥兰洞天(友好),trinket-23512
副本,4250,惊鸾链,0,3,0,2000,1800,249,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,388,0,0,0,0,185,0,0,,1D39,6,/副本·泥兰洞天: 康成辩,trinket-23513
副本,4250,泛梦链,0,2,0,2000,1800,249,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,198,0,388,0,0,0,0,185,0,0,,1D39,6,/副本·泥兰洞天: 康成辩,trinket-23514
副本,4250,魁元链,0,4,0,2000,1800,249,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,388,0,0,0,0,185,0,0,,1D39,6,/副本·泥兰洞天: 康成辩,trinket-23515
副本,4250,弥影链,0,5,0,2000,1800,249,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,165,0,388,0,0,0,0,185,0,0,,1D39,6,/副本·泥兰洞天: 康成辩,trinket-23516
副本,4250,苍蕴链,0,6,0,2000,1800,249,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,,1D00,6,/副本·泥兰洞天: 康成辩,trinket-23517
副本,4250,磐庚链,0,7,0,2000,1800,360,0,0,0,0,0,0,0,0,0,46,0,0,231,1335,0,0,0,0,0,0,0,185,92,0,0,,1D44,6,/副本·泥兰洞天: 康成辩,trinket-23518
副本,4246,惊鸾坠,0,3,1,2000,1800,249,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,388,0,0,0,0,185,0,0,,1D11,6,/副本·泥兰洞天: 源明信,trinket-23519
副本,4246,泛梦坠,0,2,1,2000,1800,249,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,198,0,388,0,0,0,0,185,0,0,,1D11,6,/副本·泥兰洞天: 源明信,trinket-23520
副本,4246,魁元坠,0,4,1,2000,1800,249,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,388,0,0,0,0,185,0,0,,1D11,6,/副本·泥兰洞天: 源明信,trinket-23521
副本,4246,弥影坠,0,5,1,2000,1800,249,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,165,0,388,0,0,0,0,185,0,0,,1D11,6,/副本·泥兰洞天: 源明信,trinket-23522
副本,4246,苍蕴坠,0,6,1,2000,1800,249,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,,1D39,6,/副本·泥兰洞天: 源明信,trinket-23523
副本,4246,磐庚坠,0,7,1,2000,1800,360,0,0,0,0,0,0,0,0,0,46,0,0,231,1335,0,0,0,0,0,0,185,0,92,0,0,,1D45,6,/副本·泥兰洞天: 源明信,trinket-23524
