ID	ForceID	Genre	SetID	SubType	RepresentID	ColorID	RepresetID1	IconID	IsInShop	CollectionNeedPiece	CollectionNeedMoney	7daysRewards	PermanentCoin	StartTime	EndTime	Discount	DisStartTime	DisEndTime	DisRoleTypeMask	CanFreeTryOn	SubSetID	MatchHair
0	0	1	0	2	0	0	0	0	0	-1	-1	-1	-1	-1	-1	100	-1	-1		0	-1	-1
1	1	1	1	2	170	0	0	1593	0	130	500	24	4000	-1	-1					0		
2	1	1	1	6	170	0	0	1596	0	60	300	4	500	-1	-1					0		
3	1	1	1	9	170	0	0	1597	0	60	300	4	500	-1	-1					0		
4	1	1	1	10	170	0	0	1595	0	60	300	4	500	-1	-1					0		
5	1	1	2	2	170	1	0	1593	0	130	500	24	4000	-1	-1					0		
6	1	1	2	6	170	1	0	1596	0	60	300	4	500	-1	-1					0		
7	1	1	2	9	170	1	0	1597	0	60	300	4	500	-1	-1					0		
8	1	1	2	10	170	1	0	1595	0	60	300	4	500	-1	-1					0		
9	1	1	3	2	170	2	0	1593	0	130	500	24	4000	-1	-1					0		
10	1	1	3	6	170	2	0	1596	0	60	300	4	500	-1	-1					0		
11	1	1	3	9	170	2	0	1597	0	60	300	4	500	-1	-1					0		
12	1	1	3	10	170	2	0	1595	0	60	300	4	500	-1	-1					0		
13	1	1	4	2	170	3	0	1593	1			24	4000	-1	-1	90		1479366000		0		
14	1	1	4	6	170	3	0	1596	1			4	500	-1	-1	90		1479366000		0		
15	1	1	4	9	170	3	0	1597	1			4	500	-1	-1	90		1479366000		0		
16	1	1	4	10	170	3	0	1595	1			4	500	-1	-1	90		1479366000		0		
17	1	1	5	2	170	4	0	1593	1			24	4000	-1	-1	90		1479366000		0		
18	1	1	5	6	170	4	0	1596	1			4	500	-1	-1	90		1479366000		0		
19	1	1	5	9	170	4	0	1597	1			4	500	-1	-1	90		1479366000		0		
20	1	1	5	10	170	4	0	1595	1			4	500	-1	-1	90		1479366000		0		
21	1	1	6	2	171	1	0	1598	0	130	500	24	4000	-1	-1					0		
22	1	1	6	6	171	1	0	1601	0	60	300	4	500	-1	-1					0		
23	1	1	6	9	171	1	0	1602	0	60	300	4	500	-1	-1					0		
24	1	1	6	10	171	1	0	1600	0	60	300	4	500	-1	-1					0		
25	1	1	7	2	171	2	0	1598	0	130	500	24	4000	-1	-1					0		
26	1	1	7	6	171	2	0	1601	0	60	300	4	500	-1	-1					0		
27	1	1	7	9	171	2	0	1602	0	60	300	4	500	-1	-1					0		
28	1	1	7	10	171	2	0	1600	0	60	300	4	500	-1	-1					0		
29	1	1	8	2	172	1	0	2084	0	130	500	24	4000	-1	-1					0		
30	1	1	8	6	172	1	0	2087	0	60	300	4	500	-1	-1					0		
31	1	1	8	9	172	1	0	2088	0	60	300	4	500	-1	-1					0		
32	1	1	8	10	172	1	0	2086	0	60	300	4	500	-1	-1					0		
33	1	1	9	2	172	2	0	2084	0	130	500	24	4000	-1	-1					0		
34	1	1	9	6	172	2	0	2087	0	60	300	4	500	-1	-1					0		
35	1	1	9	9	172	2	0	2088	0	60	300	4	500	-1	-1					0		
36	1	1	9	10	172	2	0	2086	0	60	300	4	500	-1	-1					0		
37	1	1	10	2	172	3	0	2084	1			24	4000	-1	-1	90		1479366000		0		
38	1	1	10	6	172	3	0	2087	1			4	500	-1	-1	90		1479366000		0		
39	1	1	10	9	172	3	0	2088	1			4	500	-1	-1	90		1479366000		0		
40	1	1	10	10	172	3	0	2086	1			4	500	-1	-1	90		1479366000		0		
41	1	1	11	2	172	4	0	2084	1			24	4000	-1	-1	90		1479366000		0		
42	1	1	11	6	172	4	0	2087	1			4	500	-1	-1	90		1479366000		0		
43	1	1	11	9	172	4	0	2088	1			4	500	-1	-1	90		1479366000		0		
44	1	1	11	10	172	4	0	2086	1			4	500	-1	-1	90		1479366000		0		
