ForceID	KungFuID	PointID	CostTrain	PointRequireLevel	SkillID1	SkillLevel1	RequireLevel1	RequireQuestID1	SkillID2	SkillLevel2	RequireLevel2	RequireQuestID2	SkillID3	SkillLevel3	RequireLevel3	RequireQuestID3	SkillID4	SkillLevel4	RequireLevel4	RequireQuestID4	SkillID5	SkillLevel5	RequireLevel5	RequireQuestID5
3	6	1	0	11	5656	1	11	0	5657	1	15	0	18487	1	23	0								
3	6	2	0	17	5660	1	17	0	21942	1	21	0	18224	1	29	0								
3	6	3	0	25	18602	1	25	0	5658	1	27	0	5659	1	31	0	18228	1	37	0				
3	6	4	0	33	18226	1	33	0	5673	1	35	0	18557	1	39	0	482	1	45	0				
3	6	5	0	41	5669	1	41	0	18605	1	43	0	14824	1	47	0	18233	1	53	0				
3	6	6	0	96	5694	1	96	0	6511	1	96	0	23997	1	96	0	6530	1	96	0				
3	6	7	0	96	6528	1	96	0	5666	1	96	0	5670	1	96	0	2611	1	96	0				
3	6	8	0	97	21285	1	97	0	6512	1	97	0	5676	1	97	0	6781	1	97	0	24895	1	102	0
3	6	9	0	97	6524	1	97	0	6514	1	97	0	18231	1	97	0	2628	1	97	0	24896	1	104	0
3	6	10	0	98	22727	1	98	0	6806	1	98	0	5678	1	98	0	18229	1	98	0	24899	1	106	0
3	6	11	0	99	14821	1	99	0	14822	1	99	0	15001	1	99	0	14823	1	99	0	24901	1	108	0
3	6	12	0	100	6517	1	100	0	14804	1	100	0	18232	1	100	0	15158	1	100	0	24841	1	110	0
3	8	13	0	11	5699	1	11	0	5679	1	19	0	402	1	23	0								
3	8	14	0	17	5688	1	17	0	5680	1	21	0	18224	1	29	0								
3	8	15	0	25	18602	1	25	0	5658	1	27	0	5659	1	31	0	18228	1	37	0				
3	8	16	0	33	18226	1	33	0	5682	1	35	0	5695	1	39	0	482	1	45	0				
3	8	17	0	41	5669	1	41	0	18872	1	43	0	5681	1	47	0	18233	1	53	0				
3	8	18	0	96	5696	1	96	0	5701	1	96	0	5697	1	96	0	18238	1	96	0				
3	8	19	0	96	5686	1	96	0	5702	1	96	0	5675	1	96	0	6518	1	96	0				
3	8	20	0	97	18557	1	97	0	6528	1	97	0	5700	1	97	0	6781	1	97	0	24895	1	102	0
3	8	21	0	97	5685	1	97	0	6514	1	97	0	5689	1	97	0	2628	1	97	0	25354	1	104	0
3	8	22	0	98	14799	1	98	0	14800	1	98	0	14823	1	98	0	18239	1	98	0	5694	1	106	0
3	8	23	0	99	14828	1	99	0	14822	1	99	0	14802	1	99	0	14827	1	99	0	24902	1	108	0
3	8	24	0	100	14805	1	100	0	14804	1	100	0	14826	1	100	0	15115	1	100	0	24841	1	110	0
4	4	25	0	11	5801	1	11	0	5807	1	1	0	18701	1	1	0								
4	4	26	0	17	5810	1	17	0	5811	1	21	0	17747	1	29	0								
4	4	27	0	25	26683	1	25	0	5800	1	27	0	14806	1	31	0	357	1	37	0				
4	4	28	0	33	21812	1	33	0	5818	1	35	0	26700	1	39	0	310	1	45	0				
4	4	29	0	41	5809	1	41	0	17742	1	43	0	5812	1	47	0	18200	1	53	0				
4	4	30	0	96	5802	1	96	0	6756	1	96	0	5821	1	96	0	14986	1	96	0				
4	4	31	0	96	6758	1	96	0	6481	1	96	0	21725	1	96	0	17749	1	96	0				
4	4	32	0	97	14829	1	97	0	5813	1	97	0	14598	1	97	0	17729	1	97	0	24962	1	102	0
4	4	33	0	97	5822	1	97	0	6466	1	97	0	18799	1	97	0	6744	1	97	0	24961	1	104	0
4	4	34	0	98	6472	1	98	0	17743	1	98	0	20782	1	98	0	22704	1	98	0	24958	1	106	0
4	4	35	0	99	17731	1	99	0	14835	1	99	0	14830	1	99	0	14832	1	99	0	24969	1	108	0
4	4	36	0	100	6757	1	100	0	6747	1	100	0	14833	1	100	0	15187	1	100	0	24972	1	110	0
4	3	37	0	11	5840	1	11	0	5827	1	19	0	17752	1	23	0								
4	3	38	0	17	5828	1	17	0	5823	1	21	0	17747	1	29	0								
4	3	39	0	25	22703	1	25	0	23956	1	27	0	5846	1	31	0	357	1	37	0				
4	3	40	0	33	6910	1	33	0	23614	1	35	0	21707	1	39	0	370	1	45	0				
4	3	41	0	41	5829	1	41	0	5819	1	43	0	26683	1	47	0	5830	1	53	0				
4	3	42	0	96	5802	1	96	0	18695	1	96	0	14041	1	96	0	14997	1	96	0				
4	3	43	0	96	6798	1	96	0	6481	1	96	0	18694	1	96	0	17753	1	96	0				
4	3	44	0	97	14834	1	97	0	5813	1	97	0	21712	1	97	0	26684	1	97	0	24942	1	102	0
4	3	45	0	97	5837	1	97	0	18679	1	97	0	18798	1	97	0	6904	1	97	0	24953	1	104	0
4	3	46	0	98	6472	1	98	0	5844	1	98	0	18692	1	98	0	6796	1	98	0	24945	1	106	0
4	3	47	0	99	18669	1	99	0	14835	1	99	0	14994	1	99	0	14836	1	99	0	24954	1	108	0
4	3	48	0	100	14598	1	100	0	14613	1	100	0	14837	1	100	0	23969	1	100	0	24955	1	110	0
2	7	49	0	11	5777	1	11	0	5785	1	19	0	18271	1	23	0								
2	7	50	0	17	5780	1	17	0	5783	1	21	0	18272	1	29	0								
2	7	51	0	25	5782	1	25	0	5776	1	27	0	20443	1	31	0	133	1	37	0				
2	7	52	0	33	23943	1	33	0	20790	1	35	0	5797	1	39	0	183	1	45	0				
2	7	53	0	41	9145	1	41	0	5770	1	43	0	5779	1	47	0	14659	1	53	0				
2	7	54	0	96	5790	1	96	0	5794	1	96	0	26658	1	96	0	17565	1	96	0				
2	7	55	0	96	13384	1	96	0	14662	1	96	0	5791	1	96	0	14634	1	96	0				
2	7	56	0	97	5775	1	97	0	14641	1	97	0	6685	1	97	0	19262	1	97	0	24903	1	102	0
2	7	57	0	97	5781	1	97	0	26882	1	97	0	18275	1	97	0	5798	1	97	0	24907	1	104	0
2	7	58	0	98	6773	1	98	0	5784	1	98	0	16853	1	98	0	23944	1	98	0	24909	1	106	0
2	7	59	0	99	21265	1	99	0	14637	1	99	0	13850	1	99	0	18268	1	99	0	26662	1	108	0
2	7	60	0	100	14666	1	100	0	5789	1	100	0	16854	1	100	0	14963	1	100	0	24911	1	110	0
2	5	61	0	11	5756	1	11	0	5753	1	19	0	18271	1	23	0								
2	5	62	0	17	18820	1	17	0	6690	1	21	0	5751	1	29	0								
2	5	63	0	25	5759	1	25	0	5774	1	27	0	17510	1	31	0	133	1	37	0				
2	5	64	0	33	5771	1	33	0	18724	1	35	0	5752	1	39	0	183	1	45	0				
2	5	65	0	41	5762	1	41	0	21744	1	43	0	14635	1	47	0	25951	1	53	0				
2	5	66	0	96	5767	1	96	0	5773	1	96	0	5758	1	96	0	23945	1	96	0				
2	5	67	0	96	21736	1	96	0	16855	1	96	0	23948	1	96	0	18258	1	96	0				
2	5	68	0	97	17565	1	97	0	14654	1	97	0	6685	1	97	0	18259	1	97	0	26692	1	102	0
2	5	69	0	97	6686	1	97	0	6682	1	97	0	26694	1	97	0	188	1	97	0	24912	1	104	0
2	5	70	0	98	5764	1	98	0	5784	1	98	0	14640	1	98	0	18261	1	98	0	24914	1	106	0
2	5	71	0	99	6679	1	99	0	26669	1	99	0	14634	1	99	0	18268	1	99	0	24916	1	108	0
2	5	72	0	100	14643	1	100	0	18270	1	100	0	16857	1	100	0	14965	1	100	0	24919	1	110	0
1	2	73	0	11	5896	1	11	0	6594	1	19	0	6589	1	23	0								
1	2	74	0	17	14745	1	17	0	5910	1	21	0	16897	1	29	0								
