BuffID	Level	IconID	Sparking	ShowTime	Show	Remark	Name	Desc
0	0	0	1	1	1	(0)(0)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
1	0	0	1	1	1	(1)(0)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
5	1	0	1	1	1	(5)(1)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
5	2	0	1	1	1	(5)(2)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
101	1	0	1	1	1	(101)(1)策划默认项(非程序默认行)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值
102	1	8	1	1	1	(102)(1)	金钟护体	反弹三成外功伤害
103	1	533	0	0	1	(103)(1)打坐	调息	真气在经脉中运行，元气迅速得到恢复
104	1	22	1	1	1	(104)(1)浮身	浮身	自己变轻了，可以跳得更高
105	1	22	1	1	1	(105)(1)	踏云	可以在空中跳跃两次
106	1	532	1	1	1	(106)(1)加速	神行	移动速度提高100%
107	1	17	1	1	1	(107)(1)力量提升	力量提升	力量提高10点
108	1	17	1	1	1	(108)(1)使NPC无法发现自己	遁影	遁形于影，周围的人不能察觉到你
109	1	16	1	1	1	(109)(1)调整NPC警戒范围	平静	疏于戒备
110	1	22	1	1	1	(110)(1)修改NPC警戒范围	安抚心灵	使敌对生物对自己的警戒范围变小
112	0	414	1	1	1	(112)(0)清心静气	清心静气	气血最大值提高<BUFF atMaxLifeAdditional>点
112	1	414	1	1	1	(112)(1)清心静气	清心静气	气血最大值提高1.5%
112	2	414	1	1	1	(112)(2)清心静气	清心静气	气血最大值提高2%
112	3	414	1	1	1	(112)(3)清心静气	清心静气	气血最大值提高2.5%
112	4	414	1	1	1	(112)(4)清心静气	清心静气	气血最大值提高3%
112	5	414	1	1	1	(112)(5)清心静气	清心静气	气血最大值提高3.5%
112	6	414	1	1	1	(112)(6)清心静气	清心静气	气血最大值提高4%
112	7	414	1	1	1	(112)(7)清心静气	清心静气	气血最大值提高4.5%
112	8	414	1	1	1	(112)(8)清心静气	清心静气	气血最大值提高5%
113	1	1525	1	1	1	(113)(1)碧水滔天	碧水滔天	每秒恢复内力最大值的6%
113	2	1525	1	1	1	(113)(2)碧水滔天	碧水滔天	每秒恢复内力及气血最大值的6%
115	1	338	1	1	1	(115)(1)等待时间	等待时间	等待对方移动棋子
116	1	16	1	1	1	(116)(1)	摆摊	摆摊叫卖
117	0	429	0	0	1	(117)(0)	不动莲华阵第一重	体质提高<BUFF atVitalityBase>点
121	1	1490	1	1	1	(121)(1)升天	升天	正在升天
