skillId,name,level3,level4,level5,level6
106,落星惊鸿阵,924-6,927-1,928-1,932-1
349,七绝逍遥阵,934-6,937-1,939-1,
350,九宫八卦阵,938-6,,943-1,949-1
351,北斗七星阵,947-6,,950-1,953-1
504,九襄地玄阵,923-6,925-1,926-1,
513,卫公折冲阵,930-6,935-1,936-1,940-1
751,花月凌风阵,942-6,944-1,945-1,948-1
774,九音惊弦阵,952-6,954-1,955-1,956-1
775,金刚伏魔阵,914-6,916-1,13891-1,
801,天鼓雷音阵,919-6,,920-1,
1873,依山观澜阵,1924-6,,1925-1,1926-1
2493,妙手织天阵,2506-6,2507-1,2508-1,2510-1
2500,万蛊噬心阵,2512-6,2513-1,2514-1,
3325,流星赶月阵,3306-6,,3308-1,3309-1
3326,千机百变阵,3307-6,,3310-1,3311-1
4676,炎威破魔阵,4579-6,4584-1,4586-1,
4689,无量光明阵,4580-6,4587-1,4588-1,
5313,降龙伏虎阵,6342-6,6343-1,6345-1,6362-1
13227,临川列山阵,8338-1,8339-1,8341-1,
13274,锋凌横绝阵,8402-1,8484-1,8403-1,8404-1
14171,浮声清脉阵,9476-1,9477-1,9483-1,9479-1
14180,万籁金弦阵,9485-1,9486-1,9492-1,9489-1
16153,霜岚洗锋阵,10954-6,,11158-1,11159-1
20704,墟海引归阵,14074-6,14092-1,14093-1,14095-1
22800,龙皇雪风阵,15957-6,15960-1,15961-1,15963-1
25519,九星游年阵,18335-6,18336-10,18337-1,18338-1
