ID	MaxAmount	LevelLimit	Quality	QualityLevel	Category1	Category2	Category3	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Label	SetID	SetIndex	Architecture	MaxAmountPerLand	Coin
1	30000	20	1	1	1	10	0	0	0	0	0	0	10	10	10	0			0	999	
2	30000	20	1	1	1	9	0	0	0	0	0	0	10	10	10	0			0	999	
3	30000	20	1	1	1	9	0	0	0	0	0	0	10	10	10	0			0	999	
4	30000	5	1	200	1	6	0	3	3	3	3	3	10	10	10	0			40	999	
5	30000	1	1	200	1	8	0	3	3	3	3	3	10	10	10	0			40	999	
6	30000	3	1	200	1	7	0	3	3	3	3	3	10	10	10	0			40	999	
7	30000	1	1	200	1	5	0	1	1	1	1	1	10	10	10	0			20	999	
8	30000	20	1	1	1	5	0	0	0	0	0	0	10	10	10	0			0	999	
9	30000	9	2	400	1	1	0	480	480	480	480	480	10	10	10	0	96	16	6840	999	
10	30000	13	4	800	1	1	0	3000	3000	3000	3000	3000	10	10	10	0	88	17	42740	2	
11	30000	11	4	800	1	1	0	3000	3000	3000	3000	3000	10	10	10	0	89	22	42740	2	
12	30000	11	3	600	1	1	0	1200	1200	1200	1200	1200	10	10	10	0	85	15	17090	999	
13	30000	12	4	800	1	1	0	3000	3000	3000	3000	3000	10	10	10	0	101	18	42740	2	
14	30000	6	2	400	1	2	0	360	360	360	360	360	10	10	10	0	86	15	5130	999	
15	30000	6	2	400	1	2	0	360	360	360	360	360	10	10	10	0	87	15	5130	999	
16	30000	1	1	200	1	2	0	90	90	90	90	90	10	10	10	0	99	13	1280	999	
17	30000	1	1	200	1	2	0	90	90	90	90	90	10	10	10	0	98	14	1280	999	
18	30000	1	1	200	1	1	0	120	120	120	120	120	10	10	10	0	97	12	1710	999	
19	30000	6	1	200	1	1	0	120	120	120	120	120	10	10	10	0	86	16	1710	999	
20	30000	1	1	200	1	1	0	120	120	120	120	120	10	10	10	0	87	14	1710	999	
21	30000	9	3	600	1	2	0	900	900	900	900	900	10	10	10	0			12820	999	
22	30000	1	1	200	1	1	0	120	120	120	120	120	10	10	10	0	86	14	1710	999	
23	30000	6	2	400	1	3	0	156	156	156	156	156	10	10	10	0	98	15	2220	999	
24	30000	6	2	400	1	3	0	156	156	156	156	156	10	10	10	0	97	14	2220	999	
25	30000	9	3	600	1	1	0	1200	1200	1200	1200	1200	10	10	10	0	97	13	17090	999	
26	30000	11	2	400	1	1	0	480	480	480	480	480	10	10	10	0	98	16	6840	999	
27	30000	20	3	600	1	1	0	2400	2400	2400	2400	2400	10	10	10	0			0	999	
28	30000	1	1	200	1	1	0	120	120	120	120	120	10	10	10	0	95	14	1710	999	
29	30000	6	1	200	1	1	0	120	120	120	120	120	10	10	10	0	96	17	1710	999	
30	30000	9	2	400	1	1	0	480	480	480	480	480	10	10	10	0	99	14	6840	999	
31	30000	9	1	200	1	1	0	120	120	120	120	120	10	10	10	0	102	14	1710	999	
32	30000	12	3	600	1	1	0	1200	1200	1200	1200	1200	10	10	10	0			17090	999	
33	30000	6	2	400	1	1	0	480	480	480	480	480	10	10	10	0	95	15	6840	999	
34	30000	9	3	600	1	3	0	390	390	390	390	390	10	10	10	0	102	13	5560	999	
35	30000	9	3	600	1	3	0	390	390	390	390	390	10	10	10	0	87	16	5560	999	
36	30000	1	1	210	1	5	0	1	2	1	1	1	10	10	10	0	88	13	20	999	
37	30000	3	1	210	1	5	0	1	2	1	1	1	10	10	10	0	88	14	20	999	
38	30000	3	1	210	1	5	0	1	1	1	2	1	10	10	10	0	88	15	20	999	
39	30000	6	2	400	1	5	0	9	4	4	4	4	10	10	10	0	89	7	70	999	
40	30000	20	1	1	1	6	0	0	0	0	0	0	10	10	10	0			0	999	
41	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
