dwID	Path	Frame	szTip	szSource
0	ui\Image\Homeland\default\default.tga	0		
100000001	ui\Image\Homeland\default\default.tga	0		
100000002	ui\Image\Homeland\default\default.tga	0		
100000003	ui\Image\Homeland\default\default.tga	0		
100000004	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_Corridor_M_corridor01_AB400_D_HD.Mesh.tga	0		园宅币
100000005	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_path_M_alley01_AB400_D_HD.Mesh.tga	0		园宅币
100000006	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_path_M_bridge01_AB400_D_HD.Mesh.tga	0		园宅币
100000007	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_Wall_M_courtyardwall01_AB200_A_HD.Mesh.tga	0		园宅币
100000008	ui\Image\Homeland\default\default.tga	0		
100000009	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_H_house01_N_01_16_28_02_HD.Group.tga	0		园宅币
100000010	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_H_house01_T_01_22_28_02_HD.Group.tga	0		园宅币
100000011	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_H_house01_U_01_24_28_02_HD.Group.tga	0		园宅币
100000012	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_H_house01_U_01_30_36_01_HD.Group.tga	0		园宅币
100000013	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_H_house01_X_02_30_30_02_HD.Group.tga	0		园宅币
100000014	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_L_01_15_20_01_HD.Group.tga	0		园宅币
100000015	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_L_02_15_20_01_HD.Group.tga	0		园宅币
100000016	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_01_8_20_01_HD.Group.tga	0		园宅币
100000017	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_01_8_22_01_HD.Group.tga	0		园宅币
100000018	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_01_12_14_01_HD.Group.tga	0		园宅币
100000019	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_01_12_14_02_HD.Group.tga	0		园宅币
100000020	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_01_12_16_01_HD.Group.tga	0		园宅币
100000021	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_02_8_20_01_HD.Group.tga	0		园宅币
100000022	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_house01_N_02_12_14_01_HD.Group.tga	0		园宅币
100000023	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_kiosk01_N_01_04_04_01_HD.Group.tga	0		园宅币
100000024	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_L_kiosk01_N_02_04_04_01_HD.Group.tga	0		园宅币
100000025	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_L_01_16_20_02_HD.Group.tga	0		园宅币
100000026	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_L_01_16_24_02_HD.Group.tga	0		园宅币
100000027	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_L_02_16_24_02_HD.Group.tga	0		
100000028	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_N_01_12_20_01_HD.Group.tga	0		园宅币
100000029	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_N_01_12_20_02_HD.Group.tga	0		园宅币
100000030	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_N_01_14_20_02_HD.Group.tga	0		园宅币
100000031	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_N_02_12_20_02_HD.Group.tga	0		园宅币
100000032	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_N_02_14_20_02_HD.Group.tga	0		园宅币
100000033	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_house01_T_01_20_26_01_HD.Group.tga	0		园宅币
100000034	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_kiosk01_N_01_08_08_01_HD.Group.tga	0		园宅币
100000035	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_house_M_kiosk01_N_02_08_08_01_HD.Group.tga	0		园宅币
100000036	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_Wall_M_courtyardwall01_door_01_50_400_400_HD.mesh.tga	0		园宅币
100000037	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_Wall_M_courtyardwall01_gate_01_50_400_400_HD.mesh.tga	0		园宅币
100000038	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_Wall_M_courtyardwall01_gate_01_50_800_400_HD.mesh.tga	0		园宅币
100000039	ui\Image\Homeland\data\source\Home\building\AREA\JN\JN_wall_M_wallcorridor01_gate_01_250_800_550_HD.mesh.tga	0		园宅币
100000040	ui\Image\Homeland\default\default.tga	0		
100000041	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_kiosk01_N_02_08_08_01_HD.Group.tga	0		
100000042	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_kiosk01_N_01_08_08_01_HD.Group.tga	0		
100000043	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_T_01_20_26_01_HD.Group.tga	0		
100000044	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_N_02_14_20_02_HD.Group.tga	0		
100000045	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_N_02_12_20_02_HD.Group.tga	0		
100000046	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_N_01_12_20_02_HD.Group.tga	0		
100000047	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_N_01_12_20_01_HD.Group.tga	0		
100000048	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_L_02_16_24_02_HD.Group.tga	0		
100000049	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_L_01_16_24_02_HD.Group.tga	0		
100000050	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_M_house01_L_01_16_20_02_HD.Group.tga	0		
100000051	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_L_kiosk01_N_02_04_04_01_HD.Group.tga	0		
100000052	ui\Image\Homeland\data\source\Home\building\AREA\XN\XN_house_L_kiosk01_N_01_04_04_01_HD.Group.tga	0		
