dwRepresentID	szColorIndices	szDetailIndex0	szDetailIndex1	szDetailIndex2	szDetailIndex3	szDetailIndex4	szDetailIndex5	szDetailIndex6	szDetailIndex7
0									
1441	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1442	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1443	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1444	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1452	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1453	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1454	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1455	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1456	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	15;27;75		
1457	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1458	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1459	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1460	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	75;21;32		
1461	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1462	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1463	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1464	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1465	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1466	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1467	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1468	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1469	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1472	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1473	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	139;75;67		
1474	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1475	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1476	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1477	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1478	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1479	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1480	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1481	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1482	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1483	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1484	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1485	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1486	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1487	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1488	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1489	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1490	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	124;136;125		
1491	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1492	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1493	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1497	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1500	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1501	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1502	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1503	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1504	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1505	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1506	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1507	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	96;113;91		
1508	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1509	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	45;65;57		
1510	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	45;65;57		
1511	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1512	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	177;147;157		
1513	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1514	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	114;101;101		
1515	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1516	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1517	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1518	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	139;143;70		
1519	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1520	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1521	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1522	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1523	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1524	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1525	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1526	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1527	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1528	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1529	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1530	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1531	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1595	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1596	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1597	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1598	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1599	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1600	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1601	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1602	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1603	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1604	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1605	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	51;5;12		
1606	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1607	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
1608	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1609	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1610	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1611	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1612	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1613	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1619	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1621	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	124;136;125		
1622	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1623	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1624	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1625	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
1626	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6000	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	189;121;162		
6001	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6002	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6003	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6004	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6005	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6006	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6008	0;1;2;3;4;5	252;252;252	221;99;71	235;140;48	185;226;160	53;150;233	190;115;119		
6009	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6010	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6011	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	44;68;32		
6012	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6018	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6021	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6024	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6025	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6033	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6035	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
6036	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6037	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6038	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	172;98;77	186;163;118	82;15;121		
