nCatag1Index	nCatag2Index	nCatag3Index	nFurnitureType	dwFurnitureID	nRepresentID	nBrushModeCnt	szName	nQuality	bInteract	szScaleRange	bShowWhenNotGot	bNew	bChainPlace	bForTest
0	0	0	1	0	0	0	无效家具名	1	0	0;0	0	0	1	0
1	6	1	1	4	10	2	江南连廊·连	1						
1	8	1	1	5	11	2	江南石径·连	1						
1	7	1	1	6	12	2	江南石板桥·连	1						
1	5	1	1	1411	37	2	乌栅墙·连	3						
1	5	2	1	7	13	2	江南粉墙·连	1						
1	1	0	1	28	201		江南隐椽馆	1					0	
1	1	0	1	33	206		江南玄墀馆	2					0	
1	1	0	1	12	185		江南鸱吻馆	3					0	
1	1	0	1	9	182		江南鸱吻楼	2					0	
1	1	0	1	29	202		江南雕枋楼	1					0	
1	1	0	1	10	183		江南广庭楼	4					0	
1	1	0	1	30	203		江南雁翅楼	2					0	
1	1	0	1	31	204		江南团花望楼	1					0	
1	1	0	1	11	184		江南华檐楼	4					0	
1	1	0	1	13	186		江南华檐阕	4					0	
1	2	0	1	14	187		江南西厢	2					0	
1	2	0	1	15	188		江南东厢	2					0	
1	2	0	1	16	189		江南堂馆	1					0	
1	2	0	1	17	190		江南开轩馆	1					0	
1	1	0	1	18	191		江南月门馆	1					0	
1	1	0	1	19	192		江南仓楼	1					0	
1	1	0	1	20	193		江南院庭	1					0	
1	1	0	1	22	195		江南帖木皮馆	1					0	
1	3	0	1	23	196		江南月亭	2					0	
1	3	0	1	24	197		江南风亭	2					0	
1	1	0	1	25	198		江南花楹别业	3					0	
1	1	0	1	26	199		江南广庭别业	2					0	
1	3	0	1	34	207		江南琴亭	3					0	
1	3	0	1	35	208		江南八椽亭	3					0	
1	1	0	1	1417	8086		江南帖柱别业	3					0	
3	13	0	1	102	1429		永相携	4					1	
3	13	0	1	103	1430		瑶山群玉	2					1	
3	13	0	1	104	1431		若耶溪韵	2					1	
3	13	0	1	105	1432		玉露金风	4					1	
3	13	0	1	106	1433		相思一函	3					1	
3	13	0	1	107	1434		八面风	1					1	
3	13	0	1	108	1435		寒江素信	1					1	
3	13	0	1	109	1437		落敬亭	4					1	
3	13	0	1	110	1439		意萦圜·独立	4					1	1
3	13	0	1	111	1440		意萦圜·悬	4					1	
2	7	0	1	112	1441		宝相花驼褐毡	1		0.5;1.2			1	
2	7	0	1	113	1442		火毛团花绣舞筵	1		0.5;1.2			1	
2	7	0	1	114	1443		回叶纹绣筵	1		0.5;1.2			1	
2	7	0	1	115	1444		云黛绣筵	2		0.5;1.2			1	
2	9	0	1	116	1445		志得意满枕	4		0.5;1.2			1	
2	9	0	1	117	1446		心宽体胖枕	4		0.5;1.2			1	
2	9	0	1	118	1447		焉知乐枕	4		0.5;1.2			1	
2	9	0	1	119	1448		游梦仙枕	4		0.5;1.2			1	
2	9	0	1	120	1449		远行客枕	4		0.5;1.2			1	
2	9	0	1	121	1450		独行侠枕	4		0.5;1.2			1	1
2	9	0	1	122	1451		欣欣向荣枕	4		0.5;1.2			1	
2	8	0	1	123	1455		吴绫轻那	3		0.5;1.2			1	
2	8	0	1	124	1456		白烟簇雪	3		0.5;1.2			1	
2	8	0	1	125	1457		夹缬挂幔	3		0.5;1.2			1	
2	8	0	1	126	1458		鱼口衔月	3		0.5;1.2			1	
2	8	0	1	127	1459		白编清晖	4		0.5;1.2			1	1
2	8	0	1	128	1460		轻容幔	3		0.5;1.2			1	
2	8	0	1	129	1461		故渊游	4		0.5;1.2			1	
2	8	0	1	130	1462		百染线幔	3		0.5;1.2			1	
2	8	0	1	131	1463		竹挂幔·一	2		0.5;1.2			1	
2	8	0	1	132	1464		竹挂幔·二	2		0.5;1.2			1	
2	8	0	1	133	1465		竹挂幔·三	3		0.5;1.2			1	
2	8	0	1	134	1466		竹挂幔·四	2		0.5;1.2			1	
2	8	0	1	135	1467		竹挂幔·五	2		0.5;1.2			1	
2	8	0	1	136	1468		沧洋远梦	4		0.5;1.2			1	
