SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	Remark	Name	Desc	ShortDesc	SpecialDesc	KungfuDesc	HelpDesc	IsShowInNewSkill	CanDrag	SkillRelyOnShow	SkillRelyOnNotShow	IsShowNotLearn	IsHotkeyExitWhenForget	Buff	Debuff	BlackList	SimpleDesc
1	1	13	1	1	0	0	0	1	(1) TestSkill	测试技能	测试技能					1	1			1				0	
2	0	13	1	1	0	0	0	1	(2) 空雾峰_1号BOSS_欠债	欠债	测试技能					1									
3	0	13	1	1	0	0	0	1	(3) 空雾峰_1号BOSS_还钱	还钱	测试技能					1	1			1					
4	0	13	1	1	0	0	0	1	(4) 空雾峰_1号BOSS_金钱漫天	金钱漫天	测试技能					1									
5	2	6	1	1	0	0	0	1	(5) 击倒	击倒	移动状态测试技能。					1									
5	3	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1									
5	4	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1									
5	5	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1									
5	6	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1									
5	2504	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1									
6	0	7	1	1	0	0	0	1	(6) 击退到	击退倒	移动状态测试技能。					1									
7	0	13	1	1	0	0	0	1	(7) 普通攻击	攻击	测试技能					1									
8	0	13	1	1	0	0	0	1	(8) 天工坊_2号BOSS_平三指_投掷火药_火药爆炸	火药溅伤	测试技能					1									
9	1	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高1%。					1									
9	2	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高2%。					1									
9	3	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高3%。					1									
9	4	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高4%。					1									
9	5	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高5%。					1									
9	6	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高6%。					1									
9	7	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高7%。					1									
9	8	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高8%。					1									
9	9	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高9%。					1									
9	10	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高10%。					1									
9	100	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	该奇穴不受洗经伐脉影响，打通后永久保留。					1									
10	0	1486	1	1	0	0	0	10.2	(10) 横扫千军	横扫千军	对周围6尺内最多4个目标造成<SKILL PhysicsDamage>点外功伤害。	外功伤害：提高到<SKILL PhysicsDamage>点	江湖上流传的群攻战法。			1									
11	1	530	1	1	0	0	0	5.1	(11) 普通攻击-棍攻击	六合棍	威力来自于你手上的武器。		很有声势却没有什么力道的棍法。			1									
12	1	529	1	1	0	0	0	5.2	(12) 普通攻击-枪攻击	梅花枪法	威力来自于你手上的武器。		这套枪法很难用普通的枪使出什么威力来。			1									
13	1	526	1	1	0	0	0	5.3	(13) 普通攻击-剑攻击	三柴剑法	威力来自于你手上的武器。		据说是村里的长辈从砍柴的手法里领悟出的剑法。			1									
14	1	528	1	1	0	0	0	5.4	(14) 普通攻击-拳套攻击	长拳	这套拳法一般只用来练体强身。					1									
15	1	527	1	1	0	0	0	5.5	(15) 普通攻击-双兵攻击	连环双刀	威力来自于你手上的武器。		想练好连环双刀，没有二十年的基本功可显不出威力啊。			1									
16	1	531	1	1	0	0	0	5.6	(16) 普通攻击-笔攻击	判官笔法	威力来自于你手上的武器。		本来是江湖上盛名的笔法，传到你这只有几页残本了。			1									
17	1	533	1	1	0	0	0	5.7	(17) 江湖-防身武艺-打坐	打坐	可以使你更快恢复到良好的状态。		江湖上基本的调息之术			1									
18	1	532	1	1	0	0	0	5.9	(18) 踏云	踏云	空中借力腾跃。					1									
20	0	13	1	1	0	0	0	1	(20) 毒牙	毒牙	测试技能					1									
