ID	ForceID	KungfuID	Solution	Qixue1	QixueList1	Qixue2	QixueList2	Qixue3	QixueList3	Qixue4	QixueList4	Qixue5	QixueList5	Qixue6	QixueList6
0	0	0													
1		10002	PVP奇穴推荐	攻防/战场等团战奇穴	85,2,5923;86,3,6790;87,4,240;88,2,6783;89,1,5926;90,3,5938;91,2,18623;92,1,5930;93,1,6591;94,2,5901;95,2,23972;96,4,15195;										
2		10003	PVP奇穴推荐	热度最高	73,2,6594;74,2,5910;75,4,240;76,1,17750;77,1,5913;78,4,17730;79,1,6590;80,3,6586;81,4,16886;82,2,21703;83,3,14820;84,4,15165;	胜率最高	73,2,6594;74,3,16897;75,4,240;76,2,16900;77,1,5913;78,4,17730;79,4,5934;80,1,5930;81,4,16886;82,5,24887;83,2,14752;84,4,15165;	攻防/战场等团战奇穴	73,2,6594;74,3,16897;75,4,240;76,4,6783;77,4,5914;78,1,18623;79,4,5934;80,5,24884;81,5,24885;82,1,5909;83,2,14752;84,5,24819;	绝境战场奇穴	73,2,6594;74,3,16897;75,4,240;76,4,6783;77,1,5913;78,4,17730;79,4,5934;80,2,6595;81,3,6580;82,1,5909;83,2,14752;84,4,15165;				
3		10014	PVP奇穴推荐	热度最高	37,2,5827;38,1,5828;39,4,357;40,4,370;41,2,5819;42,1,5802;43,1,5842;44,3,21712;45,2,18679;46,4,6796;47,1,18669;48,2,14613;	胜率最高	37,2,5827;38,3,17747;39,3,5846;40,4,370;41,2,5819;42,1,5802;43,4,17753;44,3,21712;45,2,18679;46,4,6796;47,1,18669;48,2,14613;	攻防/战场等团战奇穴	37,2,5827;38,1,5828;39,3,5846;40,3,21707;41,2,5819;42,1,5802;43,3,18694;44,1,14834;45,2,18679;46,4,6796;47,4,14836;48,1,14598;	绝境战场奇穴	37,2,5827;38,3,17747;39,1,22703;40,4,370;41,4,5830;42,2,18695;43,3,18694;44,2,5813;45,3,18798;46,2,5844;47,5,24954;48,5,24955;				
4		10015	PVP奇穴推荐	热度最高	25,3,18701;26,3,17747;27,3,14806;28,1,21812;29,2,17742;30,1,5802;31,2,6481;32,3,14598;33,2,6466;34,2,17743;35,2,14835;36,4,15187;	胜率最高	25,3,18701;26,2,5811;27,3,14806;28,1,21812;29,3,5812;30,1,5802;31,2,6481;32,3,14598;33,2,6466;34,2,17743;35,2,14835;36,4,15187;	攻防/战场等团战奇穴	25,3,18701;26,2,5811;27,2,5800;28,1,21812;29,3,5812;30,1,5802;31,4,17749;32,1,14829;33,2,6466;34,2,17743;35,2,14835;36,4,15187;	绝境战场奇穴	25,3,18701;26,3,17747;27,3,14806;28,1,21812;29,3,5812;30,2,6756;31,4,17749;32,2,5813;33,4,6744;34,3,20782;35,2,14835;36,4,15187;				
5		10021	PVP奇穴推荐	热度最高	61,3,18271;62,2,6690;63,4,133;64,4,183;65,2,21744;66,2,5773;67,1,21736;68,3,6685;69,1,6686;70,2,5784;71,4,18268;72,4,14965;	胜率最高	61,3,18271;62,2,6690;63,4,133;64,4,183;65,2,21744;66,2,5773;67,1,21736;68,3,6685;69,1,6686;70,4,18261;71,4,18268;72,4,14965;	攻防/战场等团战奇穴	61,1,5756;62,2,6690;63,2,5774;64,3,5752;65,2,21744;66,2,5773;67,1,21736;68,4,18259;69,1,6686;70,2,5784;71,2,21941;72,4,14965;	绝境战场奇穴	61,3,18271;62,2,6690;63,4,133;64,1,5771;65,4,5765;66,2,5773;67,3,23948;68,1,17565;69,3,18260;70,3,14640;71,4,18268;72,4,14965;				
6		10026	PVP奇穴推荐	热度最高	1,3,18487;2,1,5660;3,4,18228;4,2,5673;5,3,14824;6,3,23997;7,4,2611;8,1,21285;9,4,2628;10,2,6806;11,3,15001;12,4,15158;	胜率最高	1,3,18487;2,1,5660;3,1,18602;4,2,5673;5,3,14824;6,4,6530;7,4,2611;8,1,21285;9,4,2628;10,1,22727;11,3,15001;12,4,15158;	攻防/战场等团战奇穴	1,3,18487;2,3,18224;3,4,18228;4,3,18557;5,4,18233;6,4,6530;7,4,2611;8,5,24895;9,3,18231;10,2,6806;11,4,14823;12,4,15158;	绝境战场奇穴	1,3,18487;2,3,18224;3,4,18228;4,2,5673;5,1,5669;6,1,5694;7,3,5670;8,2,6528;9,2,6514;10,4,18229;11,5,24901;12,2,14804;				
7		10028	PVP奇穴推荐	热度最高	49,1,5777;50,2,5783;51,1,5782;52,2,20790;53,3,5779;54,2,5794;55,2,14662;56,3,6685;57,4,5798;58,3,16853;59,3,13850;60,4,14963;	胜率最高	49,2,5785;50,3,18272;51,4,133;52,4,183;53,3,5779;54,4,17565;55,2,14662;56,3,6685;57,3,18275;58,2,5784;59,1,21265;60,4,14963;	攻防/战场等团战奇穴	49,1,5777;50,1,5780;51,2,5776;52,3,5797;53,4,14659;54,2,5794;55,2,14662;56,3,6685;57,3,18275;58,2,5784;59,1,21265;60,4,14963;						
8		10062	PVP奇穴推荐	攻防/战场等团战奇穴	13,3,402;14,3,18224;15,4,18228;16,2,5682;17,4,18233;18,1,5696;19,4,6518;20,1,18557;21,1,5685;22,3,14823;23,4,14827;24,4,15115;										
9		10080	PVP奇穴推荐	热度最高	169,3,5872;170,3,21722;171,3,5882;172,1,5881;173,2,15745;174,3,18475;175,2,5877;176,4,566;177,3,5874;178,1,5891;179,3,18619;180,2,14939;	胜率最高	169,3,5872;170,3,21722;171,4,18210;172,1,5881;173,1,5886;174,3,18475;175,2,5877;176,4,566;177,3,5874;178,1,5891;179,3,18619;180,2,14939;	攻防/战场等团战奇穴	169,3,5872;170,1,5876;171,2,5875;172,2,18205;173,1,5886;174,2,5888;175,1,5880;176,1,18206;177,1,6566;178,1,5891;179,3,18619;180,5,24990;						
10		10081	PVP奇穴推荐	热度最高	157,3,6569;158,3,5869;159,4,563;160,4,547;161,3,21936;162,4,23935;163,4,18467;164,2,6847;165,1,6566;166,1,6779;167,3,18619;168,4,21166;	胜率最高	157,3,6569;158,3,5869;159,4,563;160,4,547;161,2,15745;162,3,18620;163,4,18467;164,4,13678;165,1,6566;166,5,24996;167,3,18619;168,4,21166;	攻防/战场等团战奇穴	157,3,6569;158,1,18202;159,1,5854;160,4,547;161,4,18621;162,2,6557;163,4,18467;164,4,13678;165,1,6566;166,1,6779;167,3,18619;168,5,25006;	绝境战场奇穴	157,2,5849;158,2,5868;159,3,5882;160,3,5861;161,2,15745;162,3,18620;163,4,18467;164,4,13678;165,2,6567;166,2,6572;167,1,6907;168,3,14715;				
11		10144	PVP奇穴推荐	热度最高	97,3,1665;98,2,5954;99,4,1647;100,4,18309;101,1,5959;102,1,21737;103,1,6545;104,4,18316;105,4,1610;106,3,14607;107,2,1655;108,4,14910;	胜率最高	97,3,1665;98,2,5954;99,4,1647;100,3,6543;101,3,6541;102,1,21737;103,1,6545;104,4,18316;105,2,6542;106,3,14607;107,2,1655;108,4,14910;	攻防/战场等团战奇穴	97,3,1665;98,2,5954;99,1,5955;100,3,6543;101,3,6541;102,3,5957;103,4,14604;104,4,18316;105,2,6542;106,3,14607;107,3,5963;108,2,14600;	绝境战场奇穴	97,3,1665;98,2,5954;99,4,1647;100,3,6543;101,3,6541;102,1,21737;103,4,14604;104,4,18316;105,4,1610;106,3,14607;107,2,1655;108,4,14910;				
